Census Tract,Population,Housing Units in Tract,"LI, LA - 1 mile radius","LI, LA - 0.5 mile radius",Low Income Tracts,Poverty Rate (%),Median Family Income,LA - 1 mile radius,LA - 0.5 mile radius,"LA,LI - 0.5 mile radius","LA - Kids population, 0.5 mile radius","LA - Senior population, 0.5 mile radius","LA - Kids population, 1 mile radius","LA - Senior population, 1 mile radius","LA - Housing Units w/ Snap Benefits, 0.5 mile radius","LA - Housing Units w/ Snap Benefits, 1 mile radius",Total Count of Housing w/ Snap Benefits
42101027700,4788,2078,0,1,1,32.7003338898164,51806.0,0,1,969.596258342266,584.266481012106,291.103862404823,,,337.365843951702,,837
42101027800,4481,1931,0,0,1,27.6298559580969,51635.0,0,0,,,,,,,,600
42101027901,3827,1430,0,0,1,22.0216606498195,54539.0,0,0,,,,,,,,366
42101027902,3873,895,0,0,1,40.982905982906,37283.0,0,0,102.702324457467,22.294774170965,23.4564434736967,,,19.550249107182,,364
42101028000,4272,1604,0,1,1,33.7529691211401,38596.0,0,1,1148.47299831682,438.683316193521,192.054150082331,,,215.47849436252,,507
42101028100,3589,1316,0,1,1,26.5859766277129,37987.0,0,1,916.684618934989,455.591259241104,188.210747480392,,,214.892878968269,,494
42101028200,4899,1939,0,0,1,26.190967209734,41108.0,0,0,17.7479236871004,11.3314959034324,2.8761548474431,,,3.49499412067235,,623
42101028300,6173,2190,0,1,1,34.5790044968212,35922.0,0,1,1716.20943576097,856.195678710938,251.935763306916,,,522.481539160013,,1125
42101028400,4085,1283,0,0,1,33.3252012686021,40234.0,0,0,317.55338716507,151.399432897568,40.2225281000137,,,67.4667363166809,,530
42101028500,2375,806,0,0,1,35.3957412615508,35234.0,0,0,22.1956939697266,10.4810228347778,2.7173023223877,,,3.84970855712891,,354
42101028600,7124,2182,0,0,1,32.5266796933714,33925.0,0,0,,,,,,,,949
42101028700,2507,791,0,0,1,37.7587437544611,28922.0,0,0,,,,,,,,362
42101028800,4245,1309,0,0,1,43.786063027075,31696.0,0,0,,,,,,,,638
